_IDOBJ;NOM_COMPLET;THEME;LIBTHEME;CATEGORIE;LIBCATEGORIE;TYPE;LIBTYPE;STATUT;COMMUNE;ADRESSE;TELEPHONE;WEB;CODE_POSTAL;location
1884;Collège Anne de Bretagne;5;ENSEIGNEMENT;504;Collège;;;Public;ST-HERBLAIN;36 Allée de la Bourgonnière;02 28 06 12 01;abretagne.loire-atlantique.e-lyco.fr;44800;[ 47.2065481348141 , -1.65675534041593]
1886;Collège Ernest Renan;5;ENSEIGNEMENT;504;Collège;;;Public;ST-HERBLAIN;10 Rue de la Mayenne;02 51 80 24 80;www.saint-herblain.fr;44800;[ 47.2148177368001 , -1.61366775627961]
1887;Maternelle Les Grands Bois;5;ENSEIGNEMENT;501;Maternelle;;;Public;ST-HERBLAIN;9 Avenue des Grands Bois;02 40 59 20 41;www.saint-herblain.fr;44800;[ 47.2334455546803 , -1.59151832566657]
1889;Maternelle Joli Mai;5;ENSEIGNEMENT;501;Maternelle;;;Public;ST-HERBLAIN;66 Avenue de Cheverny;02 40 76 02 38;www.saint-herblain.fr;44800;[ 47.2434386691832 , -1.60082853359539]
1890;Maternelle La Rabotière;5;ENSEIGNEMENT;501;Maternelle;;;Public;ST-HERBLAIN;4 Rue de Saint Servan;02 40 43 19 98;www.saint-herblain.fr;44800;[ 47.2151374203316 , -1.61615784341451]
1891;Maternelle La Sensive;5;ENSEIGNEMENT;501;Maternelle;;;Public;ST-HERBLAIN;Rue du Cantal;02 40 43 73 49;www.saint-herblain.fr;44800;[ 47.2101449793309 , -1.61282774087622]
1892;Elémentaire Soleil Levant;5;ENSEIGNEMENT;502;Elémentaire;;;Public;ST-HERBLAIN;38 Rue de la Blanche;02 40 58 27 93;www.saint-herblain.fr;44800;[ 47.2202720536467 , -1.61152088816877]
1893;Maternelle Beauregard;5;ENSEIGNEMENT;501;Maternelle;;;Public;ST-HERBLAIN;22 Avenue de Beauregard;02 40 38 33 15;www.saint-herblain.fr;44800;[ 47.2118797431333 , -1.65923842717032]
1894;Maternelle Bernardière;5;ENSEIGNEMENT;501;Maternelle;;;Public;ST-HERBLAIN;5 Rue de la Lozère;02 40 95 08 02;www.saint-herblain.fr;44800;[ 47.2064279646083 , -1.61676401065924]
1895;Maternelle Jacqueline Auriol;5;ENSEIGNEMENT;501;Maternelle;;;Public;ST-HERBLAIN;33 Rue des Calvaires;02 40 86 25 30;www.saint-herblain.fr;44800;[ 47.2124055875758 , -1.65054907706365]
